Number,Name,AF0
5,GPI36,GPI36
6,GPI37,GPI37
7,GPI38,GPI38
8,GPI39,GPI39
10,GPI34,GPI34
11,GPI35,GPI35
12,GPIO32,GPIO32
13,GPIO33,GPIO33
14,GPIO25,GPIO25
15,GPIO26,GPIO26
16,GPIO27,GPIO27
17,GPIO14,GPIO14
18,GPIO12,GPIO12
20,GPIO13,GPIO13
21,GPIO15,GPIO15
22,GPIO2,GPIO2
23,GPIO0,GPIO0
24,GPIO4,GPIO4
25,GPIO16,GPIO16
27,GPIO17,GPIO17
28,GPIO9,GPIO9
29,GPIO10,GPIO10
30,GPIO11,GPIO11
31,GPIO6,GPIO6
32,GPIO7,GPIO7
33,GPIO8,GPIO8
34,GPIO5,GPIO5
35,GPIO18,GPIO18
36,GPIO23,GPIO23
38,GPIO19,GPIO19
39,GPIO22,GPIO22
40,GPIO3,GPIO3
41,GPIO1,GPIO1
42,GPIO21,GPIO21
